estimator,base_model,offloader_id,policy_id,ratio,scenario,scenario_type,seed_count,mAP,mAP_coco,mAP_coco50,stage,strategy
pre|mobilenet_v2|MORIC+-AP|online_ecdf_calibrated,mobilenet_v2,online_ecdf_calibrated,online_ecdf_calibrated,0.0,,,1,0.7599458346862418,0.5403162489028,0.7846288409390335,pre,online_ecdf_calibrated
pre|mobilenet_v2|MORIC+-AP|online_ecdf_calibrated,mobilenet_v2,online_ecdf_calibrated,online_ecdf_calibrated,0.1,,,1,0.7710229668604878,0.5535776808694122,0.7974861335516528,pre,online_ecdf_calibrated
pre|mobilenet_v2|MORIC+-AP|online_ecdf_calibrated,mobilenet_v2,online_ecdf_calibrated,online_ecdf_calibrated,0.2,,,1,0.7778252912802589,0.5614534403568555,0.8050599863989494,pre,online_ecdf_calibrated
pre|mobilenet_v2|MORIC+-AP|online_ecdf_calibrated,mobilenet_v2,online_ecdf_calibrated,online_ecdf_calibrated,0.3,,,1,0.7845760049784191,0.5685338265516993,0.8116362765996146,pre,online_ecdf_calibrated
pre|mobilenet_v2|MORIC+-AP|online_ecdf_calibrated,mobilenet_v2,online_ecdf_calibrated,online_ecdf_calibrated,0.4,,,1,0.7912949775571316,0.5758535043886301,0.818909247913454,pre,online_ecdf_calibrated
pre|mobilenet_v2|MORIC+-AP|online_ecdf_calibrated,mobilenet_v2,online_ecdf_calibrated,online_ecdf_calibrated,0.5,,,1,0.79644938782663,0.5865362473779347,0.8238536029112656,pre,online_ecdf_calibrated
pre|mobilenet_v2|MORIC+-AP|online_ecdf_calibrated,mobilenet_v2,online_ecdf_calibrated,online_ecdf_calibrated,0.6,,,1,0.7996578584995382,0.5920270316403584,0.8281638551286249,pre,online_ecdf_calibrated
pre|mobilenet_v2|MORIC+-AP|online_ecdf_calibrated,mobilenet_v2,online_ecdf_calibrated,online_ecdf_calibrated,0.7,,,1,0.8010759494583412,0.5983362725687869,0.8302849515546035,pre,online_ecdf_calibrated
pre|mobilenet_v2|MORIC+-AP|online_ecdf_calibrated,mobilenet_v2,online_ecdf_calibrated,online_ecdf_calibrated,0.8,,,1,0.8005355140516955,0.6029812407766235,0.830903367939754,pre,online_ecdf_calibrated
pre|mobilenet_v2|MORIC+-AP|online_ecdf_calibrated,mobilenet_v2,online_ecdf_calibrated,online_ecdf_calibrated,0.9,,,1,0.798025812107216,0.6070851504142406,0.8291976105472139,pre,online_ecdf_calibrated
