estimator,base_model,offloader_id,policy_id,ratio,scenario,scenario_type,seed_count,mAP,mAP_coco,mAP_coco50,stage,strategy
random,random,random,random,0.0,,,1,0.7599458346862418,0.5403162489028,0.7846288409390335,other,random
random,random,random,random,0.1,,,1,0.7653008002710096,0.548988422060914,0.7912445463725425,other,random
random,random,random,random,0.2,,,1,0.7694408794441686,0.5551623006773138,0.7946949314422216,other,random
random,random,random,random,0.3,,,1,0.7723721187394229,0.5599753753025251,0.797732814723112,other,random
random,random,random,random,0.4,,,1,0.7758265907435405,0.5666525577154279,0.800704840151045,other,random
random,random,random,random,0.5,,,1,0.7778831226368361,0.5694242541041937,0.8031421550723257,other,random
random,random,random,random,0.6,,,1,0.7805869247863971,0.5763382463631259,0.8069918032552361,other,random
random,random,random,random,0.7,,,1,0.7836637097485446,0.5869376789641906,0.8108465390682948,other,random
random,random,random,random,0.8,,,1,0.785698025420391,0.5936200578137135,0.814348675892636,other,random
random,random,random,random,0.9,,,1,0.7883518714530591,0.5990143051041965,0.8187641504201147,other,random
random,random,random,random,1.0,,,1,0.790762275881051,0.6053377810548273,0.8220915430133806,other,random
oracle,oracle,oracle,oracle,0.0,,,1,0.7599458346862418,0.5403162489028,0.7846288409390335,other,oracle
oracle,oracle,oracle,oracle,0.1,,,1,0.798925407136639,0.5786405143319978,0.8346850050382382,other,oracle
oracle,oracle,oracle,oracle,0.2,,,1,0.8148614256083803,0.6081351577904649,0.8535783903491585,other,oracle
oracle,oracle,oracle,oracle,0.3,,,1,0.8229110653321884,0.6218735358618874,0.8628601941834885,other,oracle
oracle,oracle,oracle,oracle,0.4,,,1,0.8265984657560068,0.6295663479756223,0.8663962516735978,other,oracle
oracle,oracle,oracle,oracle,0.5,,,1,0.8272703796569706,0.6336849234845789,0.8674608013211158,other,oracle
oracle,oracle,oracle,oracle,0.6,,,1,0.8272382574678795,0.6357193181473151,0.8673672526833788,other,oracle
oracle,oracle,oracle,oracle,0.7,,,1,0.8261756685804573,0.636522603828866,0.8661829460602998,other,oracle
oracle,oracle,oracle,oracle,0.8,,,1,0.8236130412475471,0.6341765987186332,0.8621124245011884,other,oracle
oracle,oracle,oracle,oracle,0.9,,,1,0.8170369944493391,0.6278868332413725,0.8535199901010136,other,oracle
oracle,oracle,oracle,oracle,1.0,,,1,0.790762275881051,0.6053377810548273,0.8220915430133806,other,oracle
