estimator,base_model,stage,offloader_id,policy_id,strategy,scenario,seed_count,spearman_rho_mean,spearman_rho_std,spearman_rho_ci_low,spearman_rho_ci_high,r2_mean,r2_std,r2_ci_low,r2_ci_high,mae_mean,mae_std,mae_ci_low,mae_ci_high,rmse_mean,rmse_std,rmse_ci_low,rmse_ci_high,peak_map_mean,peak_map_std,peak_map_ci_low,peak_map_ci_high,peak_map_coco_mean,peak_map_coco_std,peak_map_coco_ci_low,peak_map_coco_ci_high,peak_map_coco50_mean,peak_map_coco50_std,peak_map_coco50_ci_low,peak_map_coco50_ci_high,inference_time_ms_mean,inference_time_ms_std,inference_time_ms_ci_low,inference_time_ms_ci_high
post|dcsb|CountGain-05|fixed_classifier,dcsb,post,fixed_classifier,fixed_classifier,fixed,,1,0.3623174005545413,0.0,0.3623174005545413,0.3623174005545413,-0.0190484631762648,0.0,-0.0190484631762648,-0.0190484631762648,1.6698723619974754,0.0,1.6698723619974754,1.6698723619974754,2.7969433811362774,0.0,2.7969433811362774,2.7969433811362774,0.7886807121219598,0.0,0.7886807121219598,0.7886807121219598,0.6029593871675863,0.0,0.6029593871675863,0.6029593871675863,0.8190183725000166,0.0,0.8190183725000166,0.8190183725000166,0.0520822405815124,0.0,0.0520822405815124,0.0520822405815124
post|edgeml|MORIC-AP|wmse|native_threshold,edgeml,post,native_threshold,native_threshold,threshold,,1,0.1215474447458341,0.0,0.1215474447458341,0.1215474447458341,-0.3415604897629152,0.0,-0.3415604897629152,-0.3415604897629152,0.2497761151108528,0.0,0.2497761151108528,0.2497761151108528,0.3305410747913214,0.0,0.3305410747913214,0.3305410747913214,0.7932533408553147,0.0,0.7932533408553147,0.7932533408553147,0.6053377810548273,0.0,0.6053377810548273,0.6053377810548273,0.8238362878538732,0.0,0.8238362878538732,0.8238362878538732,0.6095430254936218,0.0,0.6095430254936218,0.6095430254936218
post|xgboost|MORIC-AP|online_ecdf_calibrated,xgboost,post,online_ecdf_calibrated,online_ecdf_calibrated,calibrated,,1,0.5650806870233983,0.0,0.5650806870233983,0.5650806870233983,0.2919677311905233,0.0,0.2919677311905233,0.2919677311905233,0.1980173251898289,0.0,0.1980173251898289,0.1980173251898289,0.2401302266853502,0.0,0.2401302266853502,0.2401302266853502,0.8101234884055203,0.0,0.8101234884055203,0.8101234884055203,0.607464638357236,0.0,0.607464638357236,0.607464638357236,0.8411741259938041,0.0,0.8411741259938041,0.8411741259938041,0.2402564883232116,0.0,0.2402564883232116,0.2402564883232116
pre|efficientnet_b0_lite|OffloadBin|focal|online_ecdf_calibrated,efficientnet_b0_lite,pre,online_ecdf_calibrated,online_ecdf_calibrated,calibrated,,1,0.2345849623487814,0.0,0.2345849623487814,0.2345849623487814,-287.33935546875,0.0,-287.33935546875,-287.33935546875,2.0812461376190186,0.0,2.0812461376190186,2.0812461376190186,8.490243585729418,0.0,8.490243585729418,8.490243585729418,0.7949728843746972,0.0,0.7949728843746972,0.7949728843746972,0.6053377810548273,0.0,0.6053377810548273,0.6053377810548273,0.8246043200743566,0.0,0.8246043200743566,0.8246043200743566,4.390967935323715,0.0,4.390967935323715,4.390967935323715
pre|mobilenet_v2|F1Gain|huber|online_ecdf_calibrated,mobilenet_v2,pre,online_ecdf_calibrated,online_ecdf_calibrated,calibrated,,1,0.3062523363296119,0.0,0.3062523363296119,0.3062523363296119,0.1005014181137085,0.0,0.1005014181137085,0.1005014181137085,0.1512352675199508,0.0,0.1512352675199508,0.1512352675199508,0.2091487256099743,0.0,0.2091487256099743,0.2091487256099743,0.7913837764922652,0.0,0.7913837764922652,0.7913837764922652,0.6053377810548273,0.0,0.6053377810548273,0.6053377810548273,0.8229618846476128,0.0,0.8229618846476128,0.8229618846476128,3.145289123058319,0.0,3.145289123058319,3.145289123058319
pre|mobilenet_v2|HighIoUGain|huber|online_ecdf_calibrated,mobilenet_v2,pre,online_ecdf_calibrated,online_ecdf_calibrated,calibrated,,1,0.3449999273201932,0.0,0.3449999273201932,0.3449999273201932,0.1001019477844238,0.0,0.1001019477844238,0.1001019477844238,0.1769688725471496,0.0,0.1769688725471496,0.1769688725471496,0.2819844563728689,0.0,0.2819844563728689,0.2819844563728689,0.7936429529856615,0.0,0.7936429529856615,0.7936429529856615,0.6066477074050025,0.0,0.6066477074050025,0.6066477074050025,0.8253664501923481,0.0,0.8253664501923481,0.8253664501923481,3.1513410806655884,0.0,3.1513410806655884,3.1513410806655884
pre|mobilenet_v2|MORIC+-AP|online_ecdf_calibrated,mobilenet_v2,pre,online_ecdf_calibrated,online_ecdf_calibrated,calibrated,,1,0.3501647257190216,0.0,0.3501647257190216,0.3501647257190216,0.1298025877264825,0.0,0.1298025877264825,0.1298025877264825,0.4471539246950897,0.0,0.4471539246950897,0.4471539246950897,0.5300367735450041,0.0,0.5300367735450041,0.5300367735450041,0.8010759494583412,0.0,0.8010759494583412,0.8010759494583412,0.6070851504142406,0.0,0.6070851504142406,0.6070851504142406,0.830903367939754,0.0,0.830903367939754,0.830903367939754,3.1488221883773804,0.0,3.1488221883773804,3.1488221883773804
pre|mobilenet_v2|MORIC+-AP|quantile_75|online_ecdf_calibrated,mobilenet_v2,pre,online_ecdf_calibrated,online_ecdf_calibrated,calibrated,,1,0.3125480507476964,0.0,0.3125480507476964,0.3125480507476964,-0.3377653606811361,0.0,-0.3377653606811361,-0.3377653606811361,0.520204893363004,0.0,0.520204893363004,0.520204893363004,0.6571841508534929,0.0,0.6571841508534929,0.6571841508534929,0.8010066524763658,0.0,0.8010066524763658,0.8010066524763658,0.6075222850615376,0.0,0.6075222850615376,0.6075222850615376,0.831010496242103,0.0,0.831010496242103,0.831010496242103,3.119790405035019,0.0,3.119790405035019,3.119790405035019
pre|mobilenet_v2|MORIC+-AP|wing|online_ecdf_calibrated,mobilenet_v2,pre,online_ecdf_calibrated,online_ecdf_calibrated,calibrated,,1,0.303324301635848,0.0,0.303324301635848,0.303324301635848,0.0532689610145288,0.0,0.0532689610145288,0.0532689610145288,0.4432979840199257,0.0,0.4432979840199257,0.4432979840199257,0.5528539487264478,0.0,0.5528539487264478,0.5528539487264478,0.79937027699636,0.0,0.79937027699636,0.79937027699636,0.6061197404997555,0.0,0.6061197404997555,0.6061197404997555,0.8290775455644401,0.0,0.8290775455644401,0.8290775455644401,3.136014044284821,0.0,3.136014044284821,3.136014044284821
pre|mobilenet_v2|MORICSTAR-AP|sign_rank_huber|online_ecdf_calibrated,mobilenet_v2,pre,online_ecdf_calibrated,online_ecdf_calibrated,calibrated,,1,0.2707144665831779,0.0,0.2707144665831779,0.2707144665831779,0.0771408374710369,0.0,0.0771408374710369,0.0771408374710369,0.2320534922414208,0.0,0.2320534922414208,0.2320534922414208,0.2744360161850716,0.0,0.2744360161850716,0.2744360161850716,0.7971737903341054,0.0,0.7971737903341054,0.7971737903341054,0.6053377810548273,0.0,0.6053377810548273,0.6053377810548273,0.8267879738286463,0.0,0.8267879738286463,0.8267879738286463,3.1474927067756653,0.0,3.1474927067756653,3.1474927067756653
